content,score,tokens,tokens_no_stopwords,stemmed_tokens,sentiment_label
apk banyak bug tidak bisa buat nyari hotel destinasi tidak dapat di input,1,"['apk', 'banyak', 'bug', 'tidak', 'bisa', 'buat', 'nyari', 'hotel', 'destinasi', 'tidak', 'dapat', 'di', 'input']","['apk', 'bug', 'nyari', 'hotel', 'destinasi', 'input']","['apk', 'bug', 'nyari', 'hotel', 'destinasi', 'input']",0
pesanan sy tiba dibatalin sm trip dana sudah  minggu blm balik verifikasi email otp nya gak masuk,1,"['pesanan', 'sy', 'tiba', 'dibatalin', 'sm', 'trip', 'dana', 'sudah', 'minggu', 'blm', 'balik', 'verifikasi', 'email', 'otp', 'nya', 'gak', 'masuk']","['pesanan', 'sy', 'dibatalin', 'sm', 'trip', 'dana', 'minggu', 'blm', 'verifikasi', 'email', 'otp', 'nya', 'gak', 'masuk']","['pesan', 'sy', 'dibatalin', 'sm', 'trip', 'dana', 'minggu', 'blm', 'verifikasi', 'email', 'otp', 'nya', 'gak', 'masuk']",0
diskon nya lumayan saat ini bintang  berbicara semoga selalu lancar pesanan berikut nya,5,"['diskon', 'nya', 'lumayan', 'saat', 'ini', 'bintang', 'berbicara', 'semoga', 'selalu', 'lancar', 'pesanan', 'berikut', 'nya']","['diskon', 'nya', 'lumayan', 'bintang', 'berbicara', 'semoga', 'lancar', 'pesanan', 'nya']","['diskon', 'nya', 'lumayan', 'bintang', 'bicara', 'moga', 'lancar', 'pesan', 'nya']",1
halo kak saya mau beli tiket masuk wisata jiu zhai gouchina lewat apk tapi tidak ada section untuk beli tiketnya cuman ada section ulasan tapi jika lewat web ada tampilan section beli tiket apakah ada yg bermasalah saya penguna android  xiaomi hyper s,3,"['halo', 'kak', 'saya', 'mau', 'beli', 'tiket', 'masuk', 'wisata', 'jiu', 'zhai', 'gouchina', 'lewat', 'apk', 'tapi', 'tidak', 'ada', 'section', 'untuk', 'beli', 'tiketnya', 'cuman', 'ada', 'section', 'ulasan', 'tapi', 'jika', 'lewat', 'web', 'ada', 'tampilan', 'section', 'beli', 'tiket', 'apakah', 'ada', 'yg', 'bermasalah', 'saya', 'penguna', 'android', 'xiaomi', 'hyper', 's']","['halo', 'kak', 'beli', 'tiket', 'masuk', 'wisata', 'jiu', 'zhai', 'gouchina', 'apk', 'section', 'beli', 'tiketnya', 'cuman', 'section', 'ulasan', 'web', 'tampilan', 'section', 'beli', 'tiket', 'yg', 'bermasalah', 'penguna', 'android', 'xiaomi', 'hyper', 's']","['halo', 'kak', 'beli', 'tiket', 'masuk', 'wisata', 'jiu', 'zhai', 'gouchina', 'apk', 'section', 'beli', 'tiket', 'cuman', 'section', 'ulas', 'web', 'tampil', 'section', 'beli', 'tiket', 'yg', 'masalah', 'penguna', 'android', 'xiaomi', 'hyper', 's']",0
aplikasi perjalanan yg paling cepat dan tanggap bila ada keluhan atau permintaan harga hotelnya juga paling murah,5,"['aplikasi', 'perjalanan', 'yg', 'paling', 'cepat', 'dan', 'tanggap', 'bila', 'ada', 'keluhan', 'atau', 'permintaan', 'harga', 'hotelnya', 'juga', 'paling', 'murah']","['aplikasi', 'perjalanan', 'yg', 'cepat', 'tanggap', 'keluhan', 'permintaan', 'harga', 'hotelnya', 'murah']","['aplikasi', 'jalan', 'yg', 'cepat', 'tanggap', 'keluh', 'minta', 'harga', 'hotel', 'murah']",1
sangat mudah sekali menggunakan app trip com perbanyak promonya ya trip dan sukses selalu trimakasih sudah membantu saya memudahkan dalam mencari hotel trimakasih banyak,5,"['sangat', 'mudah', 'sekali', 'menggunakan', 'app', 'trip', 'com', 'perbanyak', 'promonya', 'ya', 'trip', 'dan', 'sukses', 'selalu', 'trimakasih', 'sudah', 'membantu', 'saya', 'memudahkan', 'dalam', 'mencari', 'hotel', 'trimakasih', 'banyak']","['mudah', 'app', 'trip', 'com', 'perbanyak', 'promonya', 'ya', 'trip', 'sukses', 'trimakasih', 'membantu', 'memudahkan', 'mencari', 'hotel', 'trimakasih']","['mudah', 'app', 'trip', 'com', 'banyak', 'promonya', 'ya', 'trip', 'sukses', 'trimakasih', 'bantu', 'mudah', 'cari', 'hotel', 'trimakasih']",1
pelayanan sangat memuaskan dengan harga tiket yang sangat murah serta mudah diakomodasikan ini paling recomended banget buat para pengguna perjalanan bisnis,5,"['pelayanan', 'sangat', 'memuaskan', 'dengan', 'harga', 'tiket', 'yang', 'sangat', 'murah', 'serta', 'mudah', 'diakomodasikan', 'ini', 'paling', 'recomended', 'banget', 'buat', 'para', 'pengguna', 'perjalanan', 'bisnis']","['pelayanan', 'memuaskan', 'harga', 'tiket', 'murah', 'mudah', 'diakomodasikan', 'recomended', 'banget', 'pengguna', 'perjalanan', 'bisnis']","['layan', 'muas', 'harga', 'tiket', 'murah', 'mudah', 'akomodasi', 'recomended', 'banget', 'guna', 'jalan', 'bisnis']",1
lebih murah dan mudah dibandingkan yang lain harap dipermudah urusan penerbangan saya nanti,5,"['lebih', 'murah', 'dan', 'mudah', 'dibandingkan', 'yang', 'lain', 'harap', 'dipermudah', 'urusan', 'penerbangan', 'saya', 'nanti']","['murah', 'mudah', 'dibandingkan', 'harap', 'dipermudah', 'urusan', 'penerbangan']","['murah', 'mudah', 'banding', 'harap', 'mudah', 'urus', 'terbang']",1
salah satu penyedia layanan yg cukup membantu dg pemberian harga yg lebih kompetitif pada waktu yg tidak diduga thanks,5,"['salah', 'satu', 'penyedia', 'layanan', 'yg', 'cukup', 'membantu', 'dg', 'pemberian', 'harga', 'yg', 'lebih', 'kompetitif', 'pada', 'waktu', 'yg', 'tidak', 'diduga', 'thanks']","['salah', 'penyedia', 'layanan', 'yg', 'membantu', 'dg', 'pemberian', 'harga', 'yg', 'kompetitif', 'yg', 'diduga', 'thanks']","['salah', 'sedia', 'layan', 'yg', 'bantu', 'dg', 'beri', 'harga', 'yg', 'kompetitif', 'yg', 'duga', 'thanks']",1
aplikasi yang ketika ada masalah dengan pihak hotel yang tidak kerjasama lagi pengembalian danannya lama sampai tdk kembali sedikit punparah,1,"['aplikasi', 'yang', 'ketika', 'ada', 'masalah', 'dengan', 'pihak', 'hotel', 'yang', 'tidak', 'kerjasama', 'lagi', 'pengembalian', 'danannya', 'lama', 'sampai', 'tdk', 'kembali', 'sedikit', 'punparah']","['aplikasi', 'hotel', 'kerjasama', 'pengembalian', 'danannya', 'tdk', 'punparah']","['aplikasi', 'hotel', 'kerjasama', 'kembali', 'dan', 'tdk', 'punparah']",0
terima kasih apk nya sangat membantu ketika sya mau berangkat nya dadakan jadi ga bingung untuk pesan tiket pesawat sama hotel thank you,5,"['terima', 'kasih', 'apk', 'nya', 'sangat', 'membantu', 'ketika', 'sya', 'mau', 'berangkat', 'nya', 'dadakan', 'jadi', 'ga', 'bingung', 'untuk', 'pesan', 'tiket', 'pesawat', 'sama', 'hotel', 'thank', 'you']","['terima', 'kasih', 'apk', 'nya', 'membantu', 'sya', 'berangkat', 'nya', 'dadakan', 'ga', 'bingung', 'pesan', 'tiket', 'pesawat', 'hotel', 'thank', 'you']","['terima', 'kasih', 'apk', 'nya', 'bantu', 'sya', 'berangkat', 'nya', 'dada', 'ga', 'bingung', 'pesan', 'tiket', 'pesawat', 'hotel', 'thank', 'you']",1
harga lebih murah dan metode pemesana hingga pembayaran simple,5,"['harga', 'lebih', 'murah', 'dan', 'metode', 'pemesana', 'hingga', 'pembayaran', 'simple']","['harga', 'murah', 'metode', 'pemesana', 'pembayaran', 'simple']","['harga', 'murah', 'metode', 'sana', 'bayar', 'simple']",1
ga bisa ganti no rek refund dan waktu refund nya lama,2,"['ga', 'bisa', 'ganti', 'no', 'rek', 'refund', 'dan', 'waktu', 'refund', 'nya', 'lama']","['ga', 'ganti', 'no', 'rek', 'refund', 'refund', 'nya']","['ga', 'ganti', 'no', 'rek', 'refund', 'refund', 'nya']",0
saya sdh lama menggunakan aplikasi inipembelian dan refund sangat mudahrecommended,5,"['saya', 'sdh', 'lama', 'menggunakan', 'aplikasi', 'inipembelian', 'dan', 'refund', 'sangat', 'mudahrecommended']","['sdh', 'aplikasi', 'inipembelian', 'refund', 'mudahrecommended']","['sdh', 'aplikasi', 'inipembelian', 'refund', 'mudahrecommended']",1
jangan di download untuk proses booking lancar tapi saat mau pembatalan dipersulit dan tidak menemukan jawaban baik lewat aplikasi pihak hotel dan cs sangat tidak direkomendasikan sama sekali pengajuan pembatalan dipersulit dan tetap saja hangus,1,"['jangan', 'di', 'download', 'untuk', 'proses', 'booking', 'lancar', 'tapi', 'saat', 'mau', 'pembatalan', 'dipersulit', 'dan', 'tidak', 'menemukan', 'jawaban', 'baik', 'lewat', 'aplikasi', 'pihak', 'hotel', 'dan', 'cs', 'sangat', 'tidak', 'direkomendasikan', 'sama', 'sekali', 'pengajuan', 'pembatalan', 'dipersulit', 'dan', 'tetap', 'saja', 'hangus']","['download', 'proses', 'booking', 'lancar', 'pembatalan', 'dipersulit', 'menemukan', 'aplikasi', 'hotel', 'cs', 'direkomendasikan', 'pengajuan', 'pembatalan', 'dipersulit', 'hangus']","['download', 'proses', 'booking', 'lancar', 'batal', 'sulit', 'temu', 'aplikasi', 'hotel', 'cs', 'rekomendasi', 'aju', 'batal', 'sulit', 'hangus']",0
tanggal  agustus  pkl    saya telah membaca ulasannya  rata banyak keluhan  terutama yg sngt penting dr sektor tiket pesawat padahal saya baru saja mau booking tiket tp krn rata ulasannya jelek tentang tiket pesawat jadi takut aku nanti malah duitnya yg pasan utk tiket pp mlh hangus,1,"['tanggal', 'agustus', 'pkl', 'saya', 'telah', 'membaca', 'ulasannya', 'rata', 'banyak', 'keluhan', 'terutama', 'yg', 'sngt', 'penting', 'dr', 'sektor', 'tiket', 'pesawat', 'padahal', 'saya', 'baru', 'saja', 'mau', 'booking', 'tiket', 'tp', 'krn', 'rata', 'ulasannya', 'jelek', 'tentang', 'tiket', 'pesawat', 'jadi', 'takut', 'aku', 'nanti', 'malah', 'duitnya', 'yg', 'pasan', 'utk', 'tiket', 'pp', 'mlh', 'hangus']","['tanggal', 'agustus', 'pkl', 'membaca', 'ulasannya', 'keluhan', 'yg', 'sngt', 'dr', 'sektor', 'tiket', 'pesawat', 'booking', 'tiket', 'tp', 'krn', 'ulasannya', 'jelek', 'tiket', 'pesawat', 'takut', 'duitnya', 'yg', 'pasan', 'utk', 'tiket', 'pp', 'mlh', 'hangus']","['tanggal', 'agustus', 'pkl', 'baca', 'ulas', 'keluh', 'yg', 'sngt', 'dr', 'sektor', 'tiket', 'pesawat', 'booking', 'tiket', 'tp', 'krn', 'ulas', 'jelek', 'tiket', 'pesawat', 'takut', 'duit', 'yg', 'pas', 'utk', 'tiket', 'pp', 'mlh', 'hangus']",0
aplikasi sangat buruk saya pesan tiket pesawat dari pagi sampai malam tiket belum saya terima di suruh manunggu sampai waktu yang di tentukan sampai waktu yang di tentukan sudah lewat habis tiket belum saya terima tiba tiba di suruh kencel karena tiketnya sudah penuh aplikasi sangat buruk,1,"['aplikasi', 'sangat', 'buruk', 'saya', 'pesan', 'tiket', 'pesawat', 'dari', 'pagi', 'sampai', 'malam', 'tiket', 'belum', 'saya', 'terima', 'di', 'suruh', 'manunggu', 'sampai', 'waktu', 'yang', 'di', 'tentukan', 'sampai', 'waktu', 'yang', 'di', 'tentukan', 'sudah', 'lewat', 'habis', 'tiket', 'belum', 'saya', 'terima', 'tiba', 'tiba', 'di', 'suruh', 'kencel', 'karena', 'tiketnya', 'sudah', 'penuh', 'aplikasi', 'sangat', 'buruk']","['aplikasi', 'buruk', 'pesan', 'tiket', 'pesawat', 'pagi', 'malam', 'tiket', 'terima', 'suruh', 'manunggu', 'tentukan', 'tentukan', 'habis', 'tiket', 'terima', 'suruh', 'kencel', 'tiketnya', 'penuh', 'aplikasi', 'buruk']","['aplikasi', 'buruk', 'pesan', 'tiket', 'pesawat', 'pagi', 'malam', 'tiket', 'terima', 'suruh', 'manunggu', 'tentu', 'tentu', 'habis', 'tiket', 'terima', 'suruh', 'kencel', 'tiket', 'penuh', 'aplikasi', 'buruk']",0
aplikasi yg sangat bagus sangat membantu saya mencari hotel tiket ke china saya akan melakukan perjalanan ke tiongkok tri com membantu saya menemukan hotel and hostel di xinjiang terima kasih tri com jija saya ingin refund sangat cepat sekali uang saya kembali thanks y,5,"['aplikasi', 'yg', 'sangat', 'bagus', 'sangat', 'membantu', 'saya', 'mencari', 'hotel', 'tiket', 'ke', 'china', 'saya', 'akan', 'melakukan', 'perjalanan', 'ke', 'tiongkok', 'tri', 'com', 'membantu', 'saya', 'menemukan', 'hotel', 'and', 'hostel', 'di', 'xinjiang', 'terima', 'kasih', 'tri', 'com', 'jija', 'saya', 'ingin', 'refund', 'sangat', 'cepat', 'sekali', 'uang', 'saya', 'kembali', 'thanks', 'y']","['aplikasi', 'yg', 'bagus', 'membantu', 'mencari', 'hotel', 'tiket', 'china', 'perjalanan', 'tiongkok', 'tri', 'com', 'membantu', 'menemukan', 'hotel', 'and', 'hostel', 'xinjiang', 'terima', 'kasih', 'tri', 'com', 'jija', 'refund', 'cepat', 'uang', 'thanks', 'y']","['aplikasi', 'yg', 'bagus', 'bantu', 'cari', 'hotel', 'tiket', 'china', 'jalan', 'tiongkok', 'tri', 'com', 'bantu', 'temu', 'hotel', 'and', 'hostel', 'xinjiang', 'terima', 'kasih', 'tri', 'com', 'jija', 'refund', 'cepat', 'uang', 'thanks', 'y']",1
harga tidak transparan harga didepan sekian tapi saat pilihan harga flesibel dan tidak felsibel saya pilih tidak hanya rp  tapi tetap saja setelah dklil harga slalu bertambah rbuan lu kalau memang ada admin dibuat aja transparan jgn alasan harga fluktuasi kl pesan di ecommerce lain kl bsa hrga berubah biasanya pas mau final tpi kl ini sperti nipu harga didepan dibuat murah tiba dipilih slalu bertambah dits semua jam begitu ujungnya mals mau pesan ,3,"['harga', 'tidak', 'transparan', 'harga', 'didepan', 'sekian', 'tapi', 'saat', 'pilihan', 'harga', 'flesibel', 'dan', 'tidak', 'felsibel', 'saya', 'pilih', 'tidak', 'hanya', 'rp', 'tapi', 'tetap', 'saja', 'setelah', 'dklil', 'harga', 'slalu', 'bertambah', 'rbuan', 'lu', 'kalau', 'memang', 'ada', 'admin', 'dibuat', 'aja', 'transparan', 'jgn', 'alasan', 'harga', 'fluktuasi', 'kl', 'pesan', 'di', 'ecommerce', 'lain', 'kl', 'bsa', 'hrga', 'berubah', 'biasanya', 'pas', 'mau', 'final', 'tpi', 'kl', 'ini', 'sperti', 'nipu', 'harga', 'didepan', 'dibuat', 'murah', 'tiba', 'dipilih', 'slalu', 'bertambah', 'dits', 'semua', 'jam', 'begitu', 'ujungnya', 'mals', 'mau', 'pesan']","['harga', 'transparan', 'harga', 'didepan', 'sekian', 'pilihan', 'harga', 'flesibel', 'felsibel', 'pilih', 'rp', 'dklil', 'harga', 'slalu', 'bertambah', 'rbuan', 'lu', 'admin', 'aja', 'transparan', 'jgn', 'alasan', 'harga', 'fluktuasi', 'kl', 'pesan', 'ecommerce', 'kl', 'bsa', 'hrga', 'berubah', 'pas', 'final', 'tpi', 'kl', 'sperti', 'nipu', 'harga', 'didepan', 'murah', 'dipilih', 'slalu', 'bertambah', 'dits', 'jam', 'ujungnya', 'mals', 'pesan']","['harga', 'transparan', 'harga', 'depan', 'sekian', 'pilih', 'harga', 'flesibel', 'felsibel', 'pilih', 'rp', 'dklil', 'harga', 'slalu', 'tambah', 'rbuan', 'lu', 'admin', 'aja', 'transparan', 'jgn', 'alas', 'harga', 'fluktuasi', 'kl', 'pesan', 'ecommerce', 'kl', 'bsa', 'hrga', 'ubah', 'pas', 'final', 'tpi', 'kl', 'sperti', 'nipu', 'harga', 'depan', 'murah', 'pilih', 'slalu', 'tambah', 'dits', 'jam', 'ujung', 'mals', 'pesan']",0
saat saya ingin membatalkan pesanan karena kesalahan tanggal supliyer nya tdak bisa membantu apapun padahal saya sudah meminta konfirmasi langsung ke pihak hotel seperti yg diminta agen layanan aplikasi ini saya harus menanggung kerugian yg cukup besar menurut saya dan tenaga serta waktu yg sudah saya habiskan tak berguna saya kecewa setelah ini saya tidak akan pernah mnggunakan aplikasi ini lagi,1,"['saat', 'saya', 'ingin', 'membatalkan', 'pesanan', 'karena', 'kesalahan', 'tanggal', 'supliyer', 'nya', 'tdak', 'bisa', 'membantu', 'apapun', 'padahal', 'saya', 'sudah', 'meminta', 'konfirmasi', 'langsung', 'ke', 'pihak', 'hotel', 'seperti', 'yg', 'diminta', 'agen', 'layanan', 'aplikasi', 'ini', 'saya', 'harus', 'menanggung', 'kerugian', 'yg', 'cukup', 'besar', 'menurut', 'saya', 'dan', 'tenaga', 'serta', 'waktu', 'yg', 'sudah', 'saya', 'habiskan', 'tak', 'berguna', 'saya', 'kecewa', 'setelah', 'ini', 'saya', 'tidak', 'akan', 'pernah', 'mnggunakan', 'aplikasi', 'ini', 'lagi']","['membatalkan', 'pesanan', 'kesalahan', 'tanggal', 'supliyer', 'nya', 'tdak', 'membantu', 'apapun', 'konfirmasi', 'langsung', 'hotel', 'yg', 'agen', 'layanan', 'aplikasi', 'menanggung', 'kerugian', 'yg', 'tenaga', 'yg', 'habiskan', 'berguna', 'kecewa', 'mnggunakan', 'aplikasi']","['batal', 'pesan', 'salah', 'tanggal', 'supliyer', 'nya', 'tdak', 'bantu', 'apa', 'konfirmasi', 'langsung', 'hotel', 'yg', 'agen', 'layan', 'aplikasi', 'tanggung', 'rugi', 'yg', 'tenaga', 'yg', 'habis', 'guna', 'kecewa', 'mnggunakan', 'aplikasi']",0
